title,summary,categories
가족의 환송 받으며',(서울=뉴스1) 공군은 오는 17일부터 8월 7일까지 호주 다윈 기지에서 열리는 대규모 다국적 연합공중훈련 '2026 피치블랙(Pitch Black)' 훈련에 참가한다고 14일 밝혔다. 이날 공군 서산기지에서 열린 출정식에서 임무 조종사들이 훈련참가를 앞두고 자녀와 환송인사를 나누고 있다.,라이프
"공군, ‘피치블랙 훈련' 위한 물자 적재",(서울=뉴스1) 공군은 오는 17일부터 8월 7일까지 호주 다윈 기지에서 열리는 대규모 다국적 연합공중훈련 '2026 피치블랙(Pitch Black)' 훈련에 참가한다고 14일 밝혔다. 사진은 피치블랙 훈련에 필요한 장비와 물자 등을 KC-330 다목적공중급유수송기에 적재하고 있는 모습.,라이프
"왕이 중국 외교부장, 이르면 다음 달 방한 가능성. 한중 외교당국 조율 중",왕이 중국 외교부장 왕이 중국 공산당 중앙외사판공실 주임 겸 외교부장의 방한이 다음 달 중국 전현직 지도부의 비공개회의인 베이다이허 회의가 끝난 이후로 조율되고 있습니다. 북중 밀착과 중동 정세 변화 등으로 지연됐던 왕 부장의 방한이 성사되면 그동안 주춤했던 한중 간 고위급 전략 소통이 다시 본격화할 것으로 보입니다.,정치
李대통령 15일부터 2차 업무보고. 국민참여단 200명도 부처보고 받는다,19부 6처 18청 7위원회 및 140개 공공기관 대상 (서울=뉴스1) 이재명 대통령이 15일부터 청와대 영빈관에서 국민과 함께하는 두 번째 부처 업무보고를 주재한다고 청와대가 14일 밝혔다. 이번 업무보고 슬로건은 '삶으로 체감하는 대체불가 대한민국'으로 국무조정실을 포함해 19부 6처 18청 7위원회 및 140개 공공기관이 보고 대상이다.,정치
"출국금지 풀린 한동훈 ""특검·법무부, 이유 못 밝혀. 정보공개 청구""",무소속 한동훈 의원이 14일 자신에 대한 출국금지 조치 사유에 대한 정보공개 청구에 나서겠다고 밝혔다. 한 의원은 이날 페이스북을 통해 “민주당 정치특검과 정성호 법무부는 저를 장기간 출국금지한 이유를 밝히지 못하고 있다”고 말했다.,정치
"이 대통령, 내일부터 2차 업무보고 시작. 국민참여단 200명 선발",이재명 대통령은 오는 15일부터 재경경제부를 시작으로 총 9회에 걸쳐 국민과 함께하는 두 번째 부처 업무보고를 청와대 영빈관에서 주재한다. 청와대는 14일 공지를 통해 이번 업무보고 슬로건은 ‘삶으로 체감하는 대체불가 대한민국’이라고 밝혔다.,정치
"홍준표 ""尹 '여론조사' 징역형 옳은 판단, 오세훈도 위험""","""장동혁, 지금 그만두면 정치판에서 매장"" 서이현 홍준표 전 대구시장이 윤석열 전 대통령에 대한 1심 징역형 판결을 정확한 판단이었다고 평가하며 같은 사건에 연루된 오세훈 서울시장 재판 결과도 낙관하기 어렵다고 전망했다. 홍 전 시장은 13일 밤 CBS라디오 '박재홍의 한판승부'에 출연해 이날 나온 윤 전 대통령 1심 판결을 두고 ""정확한 판단을 한 것 같다""고 밝혔다.",정치
"인감변경신고, 주소지 아닌 가까운 주민센터에서도 가능해진다","권익위, 인감증명법 개정·수기 인감대장 전산화 추진 전자본인서명확인서 현장 활용 절차도 매뉴얼 반영 (서울=뉴스1) 국민권익위원회가 주소지 관할 주민센터에서만 가능했던 인감변경신고를 전국 모든 읍·면·동 주민센터와 출장소에서도 할 수 있도록 하는 제도 개선을 행정안전부에 권고했다. 권익위는 14일 이 같은 내용을 담은 '인감증명 및 본인서명확인 제도 이용편의 제고 방안'을 마련해 행안부에 권고했다고 밝혔다.",정치
"송영길 “저는 민주당 지키기 위해 탈당, 정청래는 철저하게 ‘선청후당’”",“당권 위해 대선에 출마 않겠다? 너무 엇나간 뜬금없는 얘기” 더불어민주당의 8·17 전당대회에서 출사표를 던진 송영길 의원은 경쟁자인 정청래 전 대표가 자신의 탈당 이력을 비판한 것과 관련 “제 탈당은 민주당을 지키기 위한 탈당이었다”라고 14일 반박했다.,정치
"""국민이 현기증 호소할 지경"". 국힘, 코스피 폭락에 李정부 책임론","14일 野정점식 원내대표 원내대책회의 발언 ""삼전·하닉 ETF, 주식시장 도박판으로 만들어"" ""결정 주도한 건 김용범. 李대통령은 해임해야"" 국민의힘은 14일 코스피 폭락이 이어지는 데 대해 이재명 정부의 책임을 정조준했다.",정치|경제
"이 대통령, 내일부터 나흘간 ‘2차 업무보고’. 국민 200명도 참석","이재명 대통령은 내일(15일)부터 청와대 영빈관에서 나흘간 모두 9차례에 걸쳐 ‘2차 업무보고’를 받습니다. 청와대는 오늘 “이번 업무보고 슬로건은 ‘삶으로 체감하는 대체 불가 대한민국’으로, 대상 기관은 국무조정실, 19부 6처 18청 7위원회를 포함해 국민 체감형 민생 사업을 추진하는 140개 공공기관”이라며 계획을 공개했습니다.",정치
李대통령 두 번째 생중계 업무보고 15일 시작. 7·8월 나눠 9회 진행,"국조실, 19부 6처 18청 7위원회, 140개 공공기관 대상 재경부·데이터처·금융위·기획처 내일 오전 첫 업무보고 국민참여단 신청자 1259명 중 연령 등 고려 200명 선정 이재명 대통령이 주재하는 두 번째 생중계 업무보고가 오는 15일부터 7월과 8월 두 달에 나뉘어 총 나흘 간 진행된다. 청와대는 이 대통령이 오는 15일부터 두 번째 부처 업무보고를 총 9회에 걸쳐 청와대 영빈관에서 주재한다고 14일 밝혔다.",정치
"정점식 ""민주, 국회법 고쳐 원내 1당이 18개 상임위 다 가져가라""","""무의미한 시간 끌기로 여야간 협상 존재하는 것처럼 국민 속이지 말아야"" ""ETF 참사 주범 김용범에 한국 경제 맡길 수 없어. 해임해야"" (서울=뉴스1) 김정률 정점식 국민의힘 원내대표는 14일 더불어민주당을 향해 ""원내 제1당이 18개 상임위원장직을 모두 독식한다고 국회법을 단독으로 개정하고 가져가길 바란다""며 ""그러면 국민의힘도 상임위원회에 들어가겠다""고 밝혔다.",정치
"송영길 ""정청래, '대선 불출마' 뜬금없어. 내 탈당은 당 지키기 위한 것""","민주당 송영길 의원 더불어민주당 친명(친이재명)계 당권 주자인 송영길 의원은 경쟁자인 정청래 전 대표가 자신의 탈당 이력을 비판하는 것과 관련해 ""내 탈당은 민주당을 지키기 위한 탈당이었다""라고 반박했습니다. 송 의원은 오늘(14일) CBS 라디오에 출연해 정 전 대표에 대해 자신이 당 대표였던 2021년 정 전 대표가 해인사의 문화재 관람료 징수를 '봉이 김선달'에 빗댄 발언한 것을 거론하면서 이같이 말했습니다.",정치
기자 회견 입장하는 홍기원 의원,더불어민주당 홍기원 의원이 14일 민주당이 추진 중인 형사소송법안에 검찰의 보완 수사권 일부를 남겨 두는 형사소송법 개정안 회견을 하기 위해 국회 회견장에 입장하고 있다.,정치
"아부다비 쉐이크쉑, ‘엉터리 태극기’ 담긴 월드컵 굿즈 제공 비난",엉터리 태극기가 새겨진 아랍에미리트 쉐이크쉑 굿즈. 서경덕 교수 SNS 캡처 글로벌 버거 브랜드 쉐이크쉑의 아랍에미리트(UAE) 아부다비 한 지점에서 태극기가 잘못 그려진 월드컵 굿즈를 고객에게 제공해 비판이 제기됐다.,사회/세계
"국힘 박수영 ""전남광주 정전횟수 수도권 1.5배. 전력안정화부터""","서남권 반도체 클러스터 투자가 예정된 전남광주 지역의 정전 빈도가 수도권의 약 1.5배에 달하는 것으로 조사됐다고 국민의힘 박수영 의원이 14일 밝혔다. 박 의원이 한국전력으로부터 제출받은 지역별 호당 정전시간과 정전횟수 자료에 따르면, 1호(가구)당 연간 정전 발생 횟수를 뜻하는 호당 정전 횟수는 2025년 기준 전남광주가 0.13회로 서울·인천(0.078회), 경기(0.085회) 등 수도권에 비해 약 1.5∼1.7배에 달하는 것으로 나타났다.",사회/세계|정치
與 '중복상장 금지' 법으로 못박는다. 자본시장법 개정 추진,"안도걸 등 K자본시장특위 의원 중심 당내 의견 수렴 거래소 심사기준 법률로 끌어올려 ‘쪼개기 상장’ 엄격 제한 더불어민주당이 모회사 일반주주에게 피해를 주는 자회사의 중복상장을 법률로 제한하는 입법에 나선다. 자회사 상장을 추진하는 모회사 이사회에 주주 영향 평가와 보호 방안 마련을 의무화하고, 물적분할 자회사 상장 때는 모회사 주주의 의사를 반영하도록 하는 내용이다.",경제|사회/세계
"李대통령, 카타르 전 군주 서거에 강훈식 조문 특사 파견","14일 출국, 이 대통령 조의 전한 뒤 16일 귀국 이재명 대통령은 셰이크 하마드 빈 할리파 알사니 전 카타르 군주 서거 소식에 14일 강훈식 비서실장을 조문 특사로 파견하고 조전을 발송하기로 했다. 강 실장은 이날 오후 카타르로 출국해 조문 특사로서 이 대통령의 조의를 전하고 16일 귀국할 예정이다.",정치
"정점식 “민주당, 국회법 개정하고 18개 상임위 모두 가져가시길”",“선관위 특검은 야당 추천으로” 정점식 국민의힘 원내대표는 14일 “민주당이 18개 상임위를 모두 가져가겠다는 협박성 언론 플레이를 자복하고 있다. 다 가져가야만 직성이 풀린다면 다 가져가라”고 강조했다.,정치
"""일 잘하는 직원 줬더니 사장만 폭탄"". 건보료 역차별 17만명",건보법 시행령 38조 역설. 성실 신고 사업주가 오히려 역차별 우수 직원에게 본인보다 많은 급여를 준 개인사업장 사장이 실제 소득과 무관하게 건강보험료 폭탄을 떠안는 사례가 14일 국회에서 공식 확인됐다.,정치|경제
"인감도장 잃어버려도, 전국 어디서나 인감변경 신고 가능","권익위, '인감증명·본인서명확인 이용편의 제고 방안' 개선 권고 수기 인감대장 전산화 기반 마련, 전자본인서명확인서 활용 확대 인감도장이 없어도 앞으로는 가까운 주민센터에서 인감변경신고를 할 수 있게 돼, 타지에서 생활하던 직장인, 학생들의 불편이 줄어들 것으로 기대된다. 국민권익위원회는 '인감증명 및 본인서명확인 제도 이용편의 제고 방안'을 마련하고, 행정안전부에 '인감증명법'을 개정할 것을 권고했다고 14일 밝혔다.",사회/세계
"""한동훈 복당 반대"" 안철수 향해 친한계 반발 ""숙주정치"", ""배제정치""","국민의힘 안철수 의원이 무소속 한동훈 의원을 향해 ""당에 얼씬도 하지 말라""며 복당을 공식적으로 반대한 데 대해 친한계 의원들이 반발했습니다. 박정하 의원은 오늘 MBC 라디오 '김종배의 시선집중'에 출연해 ""숙주정치에 잘못 발을 담그신 것 아닌가라는 생각이 들어 안쓰럽고 안타깝다""고 말했습니다.",정치
"정청래 ""분열 세력 주류 되면 안 돼. 나 자체가 핵심 코어지지층""","더불어민주당 차기 당권주자인 정청래 전 대표가 당 코어(핵심) 지지층이 흔들리는 요인에 대해 ""우리 전통 지지층을 분열시키는 세력이 주류가 되면 안 된다는 것""이라며 ""많은 당원이 그 생각을 하지 않을까 싶다""고 밝혔다. 정 전 대표는 14일 오전 유튜브 '김어준의 겸손은 힘들다 뉴스공장'에 출연해 ""대표적인 멸칭인 '문조털래유'(문재인·조국·김어준·정청래·유시민) 등의 논란이 점점 커지는 것은 전통 지지층 사이에서 이상하다고 생각할 수 있는 부분""이라며 ""김대중·노무현·문재인·이재명 대통령으로 이어지는 한 뿌리 공동체인데 어느 순간부터 그 뿌리를 자르려는 게 아니냐는 의심이 생기기 시작한 것""이라며 이같이 말했다.",정치
"野, 민주 겨냥 ""차라리 '상임위 독식' 법 만들라. 그럼 상임위 들어간다""","14일 정점식 원내대표 원내대책회의 발언 ""'18개 상임위 독식' 압박. 다 가져가야 직성 풀리겠나"" ""선관위 특검 1호는 '李 밥친구' 위철환.",정치
"정청래 ""혁신당 합당 제안 당일, '코스피 5000' 될 줄 누가 알았나""","더불어민주당 대표 선거에 출마한 정청래 전 민주당 대표가 ""(재임 중) 청와대와 엇박자를 낸 바 없다""고 주장했다. 정 전 대표는 14일 오전 유튜브 '김어준의 겸손은힘들다 뉴스공장' 생방송에 출연해 ""당청정(민주당·정부·청와대)이 조율해 수많은 입법 성과를 내지 않았나""라고 말했다.",정치
"경찰 ""'중수청 사건이첩 요구 거부권' 필요. 구체적 기준 없어""","경찰, 행안부에 중수청법 시행령 검토 의견 제출 ""압수수색·체포 등 강제수사 이첩 요청 거부 필요"" ""신속 이첩 등 어려워 민생 사건 처리 지연 초래"" 오는 10월 중대범죄수사청 출범을 앞두고 경찰이 모호한 기준의 중수청의 사건 이첩 요구를 거부할 수 있도록 하는 방안을 요구한 것으로 나타났다. 14일 서범수 국민의힘 의원실이 확보한 '중수청법 시행령 제정안에 대한 경찰청 검토의견'에 따르면 경찰청은 최근 행정안전부에 보낸 이 같은 주장을 전달했다.",사회/세계
"송영길, 정청래 직격 ""李 외친다고 '명청대전' 사라지나. 대선 불출마도 뜬금포""","더불어민주당 차기 당권주자인 송영길 의원이 정청래 전 당 대표를 향해 ""혼자 이재명 (대통령)을 몇 번 외친다고 명청(이 대통령-정 전 대표)대전이 없어지는가""라고 직격했다. 송 의원은 14일 오전 CBS 라디오 '박성태의 뉴스쇼'에 출연해 ""청와대 기류를 언론이 분석을 해보면 대통령께서 몇 번이나 공개적인 모습을 통해 (정 전 대표가 지방선거에서) 이겨야 될 것을 졌다고 말하고, 김민석 후보의 말을 보더라도 대통령이 표정을 관리할 수 없을 정도로 분노했다는데, 갈등이 없다는 건 스토커가 아닌가""라며 이같이 말했다.",정치
송영길 “정청래는 이재명 스토커 수준. 무슨 이런 여당 대표가 있나 분노”,송영길 더불어민주당 의원이 14일 정청래 의원을 향해 “이재명 대통령 스토커”라고 말했다. 차기 당대표 출마를 선언한 정 의원이 “명청 갈등은 없다”고 주장하는 데 대해 “자기모순”이라고 비판한 것이다.,정치
"황현선, 김민석·정청래 합당 거론에 ""스토킹 범죄 수준. 식민지 취급하나""",황현선 조국혁신당 최고위원 후보가 더불어민주당 당권 주자들의 연이은 합당 관련 발언을 두고 스토킹 범죄에 빗대 불쾌감을 드러냈다. 혁신당 의사와 무관하게 민주당 당권 다툼의 소재로 활용되고 있음을 지적한 것이다.,정치
"中 왕이, 내달 방한 조율. '북한 비핵화' 의지 확인하나","왕이 중국 외교부장이 내달 중 한국을 방문하는 일정을 조율 중인 것으로 전해졌다. 외교부는 14일 언론공지를 통해 ""한중 외교장관 교류 관련 중국 측과 실무적으로 긴밀히 협의하고 있다""고 밝혔다.",정치
"현대로템 K2 전차, 국내 첫 나토 인증. 시장 공략 탄력",나토 입찰 자격요건 충족 현대로템 K2 전차가 북대서양조약기구(NATO·나토) 품질보증시스템 인증을 획득하며 글로벌 방산시장 공략에 속도를 낸다. 현대로템은 지난 13일 경기 의왕 본사에서 국방기술품질원과 나토 품질보증시스템(AQAP) 인증 수여식을 열고 'AQAP-2110' 인증을 받았다고 14일 밝혔다.,사회/세계|경제
"북한, 태풍 ‘바비’ 영향권. “최대로 긴장 각성하라”","북한이 제9호 태풍 ‘바비’에서 약화한 열대저압부의 영향으로 14일부터 15일까지 폭우와 강풍이 예상되자 각 지역과 기관에 철저한 수해 대비를 주문했다. 노동당 기관지 노동신문은 ‘폭우와 많은 비, 센바람이 예견된다’는 제목의 기사를 통해 기상수문국이 폭우와 많은 비, 강풍에 대한 주의 경보를 발령했다고 14일 보도했다.",사회/세계
송영길 “鄭 ‘대선 불출마’ 뜬금없어. 난 들러리 아닌 6선 주자”,“대선 염두에 둔 것처럼 비치는 발언” “혼자 이재명 외친다고 갈등 사라지지 않아” “전당대회 페이스메이커로 나온 것 아냐” 더불어민주당 당대표 선거에 출마한 송영길 의원은 14일 “(정청래 전 대표의) 당권을 이용해 대선에 출마하지 않겠다는 발언은 뜬금없는 이야기”라며 “누가 자기보고 대선에 출마하라고 했느냐”고 지적했다. 아울러 “(이번 전당대회에) 들러리나 페이스메이커로 나온 것이 아니다”라며 전당대회 완주 의지를 분명히 했다.,정치
"김남국 ""조국 '노' 발언 논란 부적절"". 합당엔 ""갈 수밖에 없다""",더불어민주당 김남국 의원이 조국 전 조국혁신당 대표의 '노' 발언 논란 가세를 두고 부적절했다는 입장을 밝혔다. 과거 '조국 사태' 당시부터 조 전 대표를 적극 옹호해온 김 의원은 14일 YTN라디오 '장성철의 뉴스명당'에 출연해 이같이 말했다.,정치
원내대책회의 참석하는 정점식 원내대표,원내대책회의 참석하는 정점식 원내대표 정점식 원내대표가 14일 국회에서 열린 원내대책회의 참석하기 위해 회의실로 향하며 대화하고 있다. 2026.7.14.,정치
"정점식 ""'코스피 폭락 책임' 김용범 정책실장 해임하라""","정점식 국민의힘 원내대표가 최근 코스피 폭락의 책임을 물어 김용범 청와대 정책실장을 해임하고 경제 라인을 전면 재정비하라고 주장했다. 정 원내대표는 14일 오전 서울 여의도 국회에서 열린 원내대책회의에서 ""전날 코스피가 9% 가까이 폭락하면서 7000선이 무너졌다""며 "" 증시가 폭락할 때 일정 시간 주식 거래를 전면 차단하는 서킷 브레이커가 2000년부터 지난해까지 6번 발동됐는데, 올해 들어서만 무려 7번 발동됐다""고 밝혔다.",정치|경제
"정부, 공익신고 보상금 '30%로 일원화·30억 상한 폐지' 추진","""인감 변경 신고, 전국 주민센터서 가능토록"" 제도개선 권고 정부가 공익 신고자에 대한 보상금을 수입 회복액의 30%로 일원화하고 상한도 없애는 방안을 추진한다. 국민권익위원회는 이런 내용을 골자로 하는 부패방지권익위법 시행령·공익신고자 보호법 시행령·공공재정환수법 시행령 일부개정안을 마련해 입법예고한다고 14일 밝혔다.",정치
"송영길 ""정청래 '대선 불출마' 뜬금. 대표는 대통령과 힘 합쳐야""","더불어민주당 당권 주자인 송영길 의원은 14일 CBS 라디오에서 정청래 전 대표가 자신의 탈당 이력을 비판하는 것과 관련해 ""내 탈당은 민주당을 지키기 위한 탈당이었다""라고 반박했다. 송 의원은 또 정 전 대표가 전날 당 대표 선거에 출마하면서 ""대표직을 이용해 대선에 출마하지 않겠다""고 말한 것에 대해 ""임기 4년이 남은 정권에서 대선 얘기를 하는 것도 좀 생뚱맞은 얘기인데 당권을 위해 대선에 출마하지 않겠다는 것은 너무 엇나간 뜬금없는 얘기""라고 비판했다.",정치
정청래 “대표직 이용해 대선 출마 안 해”,"진행: 하어영 한겨레. 출연: 권태호 한겨레 편집인, 여선웅 민주당 부대변인, 이세영 한겨레 논설위원 전대 나선 정청래, “대표직 이용해 대선 출마 안 해”/이 대통령 “추가세수, 3대 메가·청년 집중 투자”/여당 법사위원까지 ‘보완수사권 폐지’ 반기/한동훈·안철수·이준석 공방 격화 보수 야권 ‘난전’/이진관 , ‘명태균 여론조사’ 윤석열 징역 2년 선고.",정치
한동훈 출국금지 3개월만 해제. 권창영 특검 '빈손 수사' 논란,"""초대형 국정농단 의심""이라더니. 박상용 출금도 해제 韓 ""정치특검 직권남용 범죄.",정치
형사소송법 개정안 발표하는 홍기원 의원,홍기원 더불어민주당 의원이 14일 오전 서울 여의도 국회 소통관에서 사회적 약자 등 보호를 위한 보완 수사권 일부 존치 '형사소송법’ 개정안 대표 회견에서 발언하고 있다. 2026.07.14.,정치
"“516명 말고 최소 3명 더 있다”. 정부, 곧 심의 착수","전후 납북자', 6.25 전쟁 이후 북한에 납치, 억류된 우리 국민을 말합니다. 1960, 70년대 납북된 어민들이 대표적인데요.",정치
“명청대전 말고 ‘석길래’로. 섞여 섞여” 최민희의 말,"왼쪽부터 더불어민주당 정청래 전 대표, 송영길 의원, 김민석 전 국무총리. 뉴시스 더불어민주당 최고위원 경선에 나선 최민희 의원은 13일 당내 갈등을 유발하는 ‘명청대전’ 표현 대신 ‘석길래’(김민석·송영길·정청래)를 사용하자고 제안했다.",정치
"""힘없는 사람은. "" 부산 돌려차기 피해자, '보완수사권 존치' 호소","부산 돌려차기' 사건 피해자 김진주(가명) 씨가 13일 국회를 찾아 검찰의 보완수사권을 존치해야 한다고 호소했습니다. 김 씨는 이날 무소속 한동훈 의원과 비공개 면담 이후 취재진과 만나 ""이 사안의 핵심 당사자인 범죄 피해자들을 제외하고 (입법이) 진행되는 흐름이 과연 옳은가""라며 이같이 말했습니다.",정치
"추미애 “검찰개혁, 기득권 저항 클수록 바른 길. 실력자 믿어달라”","“큰 병 수술엔 최고의 의사 찾듯 검찰개혁도 전문가 필요” “‘설익은 법안’ 대신 검찰개혁 이끈 실력자 의견 반영 촉구” “‘수사는 경찰, 기소는 검찰’ 선진 사법체계 원칙도 재강조” 추미애 경기도지사가 검찰개혁 입법을 둘러싼 당내 논의와 관련해 “설익은 법안을 느닷없이 발의할 것이 아니라 실력 있는 전문가들의 의견에 귀 기울여야 한다”고 밝혔다. 추 지사는 13일 자신의 페이스북에 “큰 병을 수술하려는 환자는 최고의 실력을 갖춘 의사를 찾는다”며 “검찰이 언론·재벌·법조 카르텔과 유착하고 세력을 키워 내란을 일으키기까지 이른 우리 사회를 고질적 중병으로부터 건져 올리는 것이 검찰개혁”이라고 적었다.",정치
김정은과 시진핑의 엄청난 ‘밀약’,"지난달 8일 시진핑(習近平) 중국 국가주석은 북한을 1박 2일간 방문해 이런 밀약을 했다고 한다. “앞으로 핵실험과 대륙간탄도미사일(ICBM)과 같은 대량살상무기 시험은 반드시 중국에 통보하고, 중국 동의하에서만 진행해야 한다.",정치
투자 방안 밝히는 李대통령,이재명 대통령이 13일 청와대에서 ‘과감한 혁신과 투자로 여는 대체불가 대한민국’을 주제로 열린 2026년 국가재정전략회의에서 발언하고 있다. 이 대통령은 “미래대응기금을 신설해 미래·청년·지방·교육 등 국가의 미래를 좌우할 4대 분야에 집중 투자하겠다”고 밝혔다.,정치
지주사 규제 완화. 하이닉스 호남팹 외부투자 유치 가능해진다,"당정, 첨단전략산업법 개정안 비수도권에 증손회사 설립때 지분 보유 의무 100%50% 정부·여당이 지주회사의 손자회사가 비수도권에 증손회사를 설립할 때 지분 보유 의무를 완화하는 방안을 추진한다. 향후 SK하이닉스가 호남 반도체 공장 증설 등 지방 투자 시 외부 자금 수혈이 가능해져 재무 부담을 덜 수 있을 것으로 보인다.",IT/과학|경제|정치
"한동훈, '부산 돌려차기' 피해자 만나. ""경수완독 되면 피해자만 싸운다""","돌려차기 사건' 피해자 ""범죄 피해자 목소리 빠진 검찰개혁 우려"" 한동훈 무소속 의원이 13일 '부산 돌려차기' 사건 피해자 김진주씨(가명)를 만나 더불어민주당의 검찰 보완수사권 폐지 추진을 비판했다. 한 의원은 보완수사권이 폐지되면 경찰 수사에 대한 견제 기능이 약화돼 피해자 보호에 공백이 생길 수 있다며 제도 존치 필요성을 강조했다.",정치
"이 대통령, '병사 못본 총' 보도에 ""조작 기초한 정치 공격""","이재명 대통령은 지난달 연평부대에서 자신이 사용한 총기가 일선엔 지급되지 않았단 보도에 대해 조작에 기초한 정치적 공격은 온당한 태도가 아니라고 지적했습니다. 이 대통령은 오늘(13일) SNS에, 자신이 실탄 10발을 명중시킨 총을 병사들은 본 적도 없다는 조선일보 보도는 사실과 다르다고 반박한 오마이뉴스 기사를 올리며 이같이 적었습니다.",정치
